Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File,Source
Payload (of Flow Definition),ペイロード (フロー定義の),The payload of a flow definition can be constrained by redefining the payload feature of the flow.,The payload of a flow definition can be constrained by redefining the payload feature of the flow.,7.16.2,SysML2,7.16
payload (SendAction),ペイロード (送信アクション),The payload to be sent in the outgoing Transfer.,payload : Anything [1..*] {redefines payload},9.2.10.2.22,SysML2,9.2
payload (StateTransitionAction),ペイロード (状態遷移アクション),payload : Anything [0..*],payload : Anything [0..*],9.2.11.2.3,SysML2,9.2
PayloadFeature (KerML),ペイロードフィーチャ (KerML),A PayloadFeature is the ownedFeature of a Flow that identifies the things carried by the kinds of transfers that are instances of the Flow.,A PayloadFeature is the ownedFeature of a Flow that identifies the things carried by the kinds of transfers that are instances of the Flow.,8.3.4.9.5,KerML1,7.16
PayloadType (KerML),ペイロードタイプ (KerML),The payloadTypes of a Flow are the types of the payloadFeature of the Flow (if any).,The payloadTypes of a Flow are the types of the payloadFeature of the Flow (if any).,8.3.4.9.2,KerML1,7.16
pebi,ペビ,"(No explicit description, but implied as a binary UnitPrefix for 1024^5)","Name: pebi, Symbol: Pi, Value: 1024^5",9.8.5.2,SysML2,9.4
pebi,ペビ,"ISO/IEC 80000-1 prefixes for binary multiples, i.e. multiples of 1024 (= 210).",pebi Pi 10245,9.8.5.1,SysML2,9.8
Perform Action Usage (semantics),実行アクション使用 (意味論),A PerformActionUsage is a kind of ActionUsage and a kind of EventOccurrenceUsage.,"The checkPerformActionUsageSpecialization constraint requires that if a PerformActionUsage is an ownedFeature of a PartDefinition or PartUsage, then it must directly or indirectly specialize the ActionUsage Parts::Part::performedActions.",8.4.13.11,SysML2,8.4
PerformanceRequirementCheck,性能要件チェック,"A PerformanceRequirementCheck quantitatively measures the extent to which a system, or a system part, satisfies a required capability or condition.","A PerformanceRequirementCheck quantitatively measures the extent to which a system, or a system part, satisfies a required capability or condition.",9.2.14.2.6,SysML2,9.2
Performed Action Usage,実行アクション使用,A perform action usage is an action usage that specifies that an action is performed by the owner of the performed action usage.,perform action powerVehicle references VehicleActions::providePower;,7.17.6,SysML2,7.17
performedActions,実行アクション,Actions that are performed by this Part.,performedActions : Action [0..*] {subsets enactedPerformances},9.2.4.2.1,SysML2,9.2
peta,ペタ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,peta P 1015,9.8.5.1,SysML2,9.8
peta,ペタ,"(No explicit description, but implied as a UnitPrefix for 10^15)","Name: peta, Symbol: P, Value: 10^15",9.8.5.2,SysML2,9.4
PhysicalRequirementCheck,物理要件チェック,"A PhysicalRequirementCheck specifies physical characteristics and/or physical constraints of the system, or a system part.","A PhysicalRequirementCheck specifies physical characteristics and/or physical constraints of the system, or a system part.",9.2.14.2.7,SysML2,9.2
pico,ピコ,"(No explicit description, but implied as a UnitPrefix for 10^-12)","Name: pico, Symbol: p, Value: 10^-12",9.8.5.2,SysML2,9.4
pico,ピコ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,pico p 10-12,9.8.5.1,SysML2,9.8
PlanarCurve,平面曲線,A PlanarCurve is a Curve with a given length embeddable in a plane.,A PlanarCurve is a Curve with a given length embeddable in a plane.,9.7.3.2.23,SysML2,9.7
PlanarCurve,平面曲線,A PlanarCurve is a Curve with a given length embeddable in a plane.,A PlanarCurve is a Curve with a given length embeddable in a plane.,9.7.3.2.23,SysML2,9.4
PlanarSurface,平面,A PlanarSurface is a Surface with given area that is flat.,A PlanarSurface is a Surface with given area that is flat.,9.7.3.2.24,SysML2,9.7
PlanarSurface,平面,A PlanarSurface is a Surface with given area that is flat.,A PlanarSurface is a Surface with given area that is flat.,9.7.3.2.24,SysML2,9.4
Polygon,多角形,A Polygon is a closed planar Path with straight edges.,A Polygon is a closed planar Path with straight edges.,9.7.3.2.25,SysML2,9.7
Polygon,多角形,A Polygon is a closed planar Path with straight edges.,A Polygon is a closed planar Path with straight edges.,9.7.3.2.25,SysML2,9.4
Polyhedron,多面体,A Polyhedron is a closed Shell with polygonal sides.,A Polyhedron is a closed Shell with polygonal sides.,9.7.3.2.26,SysML2,9.7
Polyhedron,多面体,A Polyhedron is a closed Shell with polygonal sides.,A Polyhedron is a closed Shell with polygonal sides.,9.7.3.2.26,SysML2,9.4
Port,ポート,The parts of a system may have ports (see 7.12 ) that define the points at which those parts may be interconnected (see 7.13 and 7.14 ).,The parts may have ports (see 7.12 ) that define the points at which those parts may be interconnected (see 7.13 and 7.14 ).,7.11.1,SysML2,7.11
Port,ポート,Port is the most general class of objects that represent connection points for interacting with a Part.,Port is the base type of all PortDefinitions.,9.2.5.2.1,SysML2,9.2
Port Definition,ポート定義,A port definition is a kind of occurrence definition (see 7.9 ) that defines a connection point to enable interactions between occurrences (most commonly parts).,A port definition is a kind of occurrence definition (see 7.9 ) that defines a connection point to enable interactions between occurrences (most commonly parts).,7.12.1,SysML2,7.12
Port Definition,ポート定義,A port definition is a kind of occurrence definition (see 7.9 ) that defines a connection point to enable interactions between occurrences (most commonly parts).,An interface definition is a kind of connection definition (see 7.13 ) whose ends are restricted to be port definitions (see 7.12 ).,7.14.1,SysML2,7.14
Port Definition (semantics),ポート定義 (意味論),A PortDefinition is a kind of OccurrenceDefinition and a kind of KerML Structure.,"The checkPortDefinitionSpecialization constraint requires that a PortDefinition specialize the base PortDefinition Ports::Port (see 9.2.5.2.1 ), which subclassifies the kernel Class Objects::Object (see [KerML, 9.2.5]).",8.4.8.1,SysML2,8.4
Port Usage,ポート使用,A port usage is a kind of occurrence usage definition that is a usage of a port definition.,The ends of an interface usage are restricted to be port usages.,7.14.1,SysML2,7.14
Port Usage,ポート使用,A port usage is a kind of occurrence usage definition that is a usage of a port definition.,A port usage is a kind of occurrence usage definition that is a usage of a port definition.,7.12.1,SysML2,7.12
Port Usage (semantics),ポート使用 (意味論),A PortUsage is a kind of OccurrenceUsage that is syntactically restricted to be defined only by PortDefinitions.,"checkPortUsageSpecialization requires that a PortUsage specialize the base PortUsage Ports::ports (see 9.2.5.2.2 ), which subsets the kernel Feature Objects::objects (see [KerML, 9.2.5]).",8.4.8.2,SysML2,8.4
ports,ポート群,ports is the base feature of all PortUsages.,ports is the base feature of all PortUsages.,9.2.5.2.2,SysML2,9.2
Ports,ポート,Ports that define connection points on parts that enable interactions between parts (see 7.12 ).,"The modeling of structure to represent how parts are decomposed, interconnected and classified, and includes: Ports that define connection points on parts that enable interactions between parts (see 7.12 ).",7.1,SysML2,7.1
